n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
13,14.000000,7.000000,10000,0,0,10000,0,0,10000
14,6.000000,5.000000,10000,0,0,10000,0,0,10000
14,6.000000,7.000000,10000,0,0,10000,0,0,10000
14,6.000000,1.000000,10000,0,0,10000,0,0,10000
14,6.000000,9.000000,10000,0,0,10000,0,0,10000
14,8.000000,1.000000,10000,0,0,10000,0,0,10000
14,8.000000,3.000000,10000,0,0,10000,0,0,10000
14,10.000000,3.000000,10000,0,0,10000,0,0,10000
14,8.000000,9.000000,10000,0,0,10000,0,0,10000
14,8.000000,5.000000,10000,0,0,10000,0,0,10000
14,10.000000,1.000000,10000,0,0,10000,0,0,10000
14,8.000000,7.000000,10000,0,0,10000,0,0,10000
14,10.000000,9.000000,10000,0,0,10000,0,0,10000
14,10.000000,5.000000,10000,0,0,10000,0,0,10000
14,10.000000,7.000000,10000,0,0,10000,0,0,10000
14,12.000000,7.000000,10000,0,0,10000,0,0,10000
14,12.000000,1.000000,10000,0,0,10000,0,0,10000
14,12.000000,5.000000,10000,0,0,10000,0,0,10000
14,12.000000,3.000000,10000,0,0,10000,0,0,10000
14,14.000000,1.000000,10000,0,0,10000,0,0,10000
14,12.000000,9.000000,10000,0,0,10000,0,0,10000
14,14.000000,3.000000,10000,0,0,10000,0,0,10000
14,14.000000,7.000000,10000,0,0,10000,0,0,10000
14,14.000000,5.000000,10000,0,0,10000,0,0,10000
14,14.000000,9.000000,10000,0,0,10000,0,0,10000
15,6.000000,3.000000,10000,0,0,10000,0,0,10000
15,6.000000,1.000000,10000,0,0,10000,0,0,10000
15,6.000000,9.000000,10000,0,0,10000,0,0,10000
15,8.000000,3.000000,10000,0,0,10000,0,0,10000
15,8.000000,5.000000,10000,0,0,10000,0,0,10000
15,6.000000,5.000000,10000,0,0,10000,0,0,10000
15,8.000000,1.000000,10000,0,0,10000,0,0,10000
15,8.000000,7.000000,10000,0,0,10000,0,0,10000
15,6.000000,7.000000,10000,0,0,10000,0,0,10000
15,8.000000,9.000000,10000,0,0,10000,0,0,10000
15,10.000000,1.000000,10000,0,0,10000,0,0,10000
15,10.000000,3.000000,10000,0,0,10000,0,0,10000
15,10.000000,5.000000,10000,0,0,10000,0,0,10000
15,10.000000,7.000000,10000,0,0,10000,0,0,10000
15,12.000000,3.000000,10000,0,0,10000,0,0,10000
15,12.000000,5.000000,10000,0,0,10000,0,0,10000
15,12.000000,9.000000,10000,0,0,10000,0,0,10000
15,12.000000,1.000000,10000,0,0,10000,0,0,10000
15,10.000000,9.000000,10000,0,0,10000,0,0,10000
15,12.000000,7.000000,10000,0,0,10000,0,0,10000
16,6.000000,3.000000,10000,0,0,10000,0,0,10000
16,6.000000,5.000000,10000,0,0,10000,0,0,10000
15,14.000000,7.000000,10000,0,0,10000,0,0,10000
15,14.000000,1.000000,10000,0,0,10000,0,0,10000
15,14.000000,3.000000,10000,0,0,10000,0,0,10000
15,14.000000,9.000000,10000,0,0,10000,0,0,10000
16,6.000000,7.000000,10000,0,0,10000,0,0,10000
16,6.000000,9.000000,10000,0,0,10000,0,0,10000
16,6.000000,1.000000,10000,0,0,10000,0,0,10000
15,14.000000,5.000000,10000,0,0,10000,0,0,10000
16,8.000000,9.000000,10000,0,0,10000,0,0,10000
16,8.000000,7.000000,10000,0,0,10000,0,0,10000
16,8.000000,1.000000,10000,0,0,10000,0,0,10000
16,8.000000,3.000000,10000,0,0,10000,0,0,10000
16,10.000000,9.000000,10000,0,0,10000,0,0,10000
16,10.000000,5.000000,10000,0,0,10000,0,0,10000
16,10.000000,7.000000,10000,0,0,10000,0,0,10000
16,8.000000,5.000000,10000,0,0,10000,0,0,10000
16,10.000000,1.000000,10000,0,0,10000,0,0,10000
16,10.000000,3.000000,10000,0,0,10000,0,0,10000
16,14.000000,3.000000,10000,0,0,10000,0,0,10000
16,14.000000,9.000000,10000,0,0,10000,0,0,10000
16,14.000000,7.000000,10000,0,0,10000,0,0,10000
16,12.000000,9.000000,10000,0,0,10000,0,0,10000
16,14.000000,5.000000,10000,0,0,10000,0,0,10000
16,12.000000,1.000000,10000,0,0,10000,0,0,10000
16,12.000000,3.000000,10000,0,0,10000,0,0,10000
16,12.000000,7.000000,10000,0,0,10000,0,0,10000
16,14.000000,1.000000,10000,0,0,10000,0,0,10000
16,12.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,7.000000,10000,0,0,10000,0,0,10000
17,6.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,1.000000,10000,0,0,10000,0,0,10000
17,6.000000,3.000000,10000,0,0,10000,0,0,10000
17,6.000000,1.000000,10000,0,0,10000,0,0,10000
17,6.000000,9.000000,10000,0,0,10000,0,0,10000
17,6.000000,7.000000,10000,0,0,10000,0,0,10000
17,8.000000,3.000000,10000,0,0,10000,0,0,10000
17,8.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,9.000000,10000,0,0,10000,0,0,10000
17,10.000000,1.000000,10000,0,0,10000,0,0,10000
17,10.000000,7.000000,10000,0,0,10000,0,0,10000
17,10.000000,5.000000,10000,0,0,10000,0,0,10000
17,10.000000,3.000000,10000,0,0,10000,0,0,10000
17,12.000000,5.000000,10000,0,0,10000,0,0,10000
17,10.000000,9.000000,10000,0,0,10000,0,0,10000
17,12.000000,9.000000,10000,0,0,10000,0,0,10000
17,12.000000,7.000000,10000,0,0,10000,0,0,10000
17,12.000000,3.000000,10000,0,0,10000,0,0,10000
17,12.000000,1.000000,10000,0,0,10000,0,0,10000
17,14.000000,7.000000,10000,0,0,10000,0,0,10000
17,14.000000,9.000000,10000,0,0,10000,0,0,10000
17,14.000000,1.000000,10000,0,0,10000,0,0,10000
17,14.000000,5.000000,10000,0,0,10000,0,0,10000
17,14.000000,3.000000,10000,0,0,10000,0,0,10000
18,6.000000,1.000000,10000,0,0,10000,0,0,10000
18,6.000000,5.000000,10000,0,0,10000,0,0,10000
18,6.000000,3.000000,10000,0,0,10000,0,0,10000
18,6.000000,9.000000,10000,0,0,10000,0,0,10000
18,6.000000,7.000000,10000,0,0,10000,0,0,10000
